scenario,scenario_size,seed,episode_steps,social_welfare,completed_tasks,generated_tasks,completion_rate,drop_rate,deadline_violation_rate,avg_latency_ms,p95_latency_ms,avg_node_utilization,load_imbalance,overload_count,allocation_overhead_ms,policy_inference_time_ms,total_decision_overhead_ms,slot_share,payments_sum,payment_robot_sum,payment_task_sum,node_compensation_sum,average_externality,externality_mean,externality_p95,externality_max,cluster_count,avg_cluster_size,graph_cut,welfare_loss_vs_global,method,mode_profile,externality_utilization_corr,externality_latency_corr,externality_queue_corr,relative_welfare_gain_vs_fixed_heuristic,relative_welfare_gain_vs_fixed_auction,relative_overhead_reduction_c_ample_vs_ample
peak_warehouse_load,Warehouse-M,0,90,613.7182528005266,315,388,0.8118556701030928,0.18298969072164947,0.005154639175257732,27.309506056926917,95.7837627927046,0.15166341590582572,0.16089552375428695,0,1.0439240777890921,0.0,1.0439240777890921,0.010439240777890922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_heuristic,default,,,,0.0,-0.6867929473210435,
peak_warehouse_load,Warehouse-M,1,90,994.007757197587,325,394,0.8248730964467005,0.1751269035532995,0.0,23.089943698001857,63.20464641572909,0.14048464324797272,0.14880046781570982,0,1.0471718117413629,0.0,1.0471718117413629,0.010471718117413629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_heuristic,default,,,,0.0,-0.57941886746896,
peak_warehouse_load,Warehouse-M,2,90,804.7388402297872,346,384,0.9010416666666666,0.09895833333333333,0.0,24.93091745904123,89.84758365339871,0.15445917194357128,0.1555750776101551,0,1.0402475997883205,0.0,1.0402475997883205,0.010402475997883206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_heuristic,default,,,,0.0,-0.6300764898241065,
peak_warehouse_load,Warehouse-M,3,90,1471.7520722316626,357,412,0.866504854368932,0.1262135922330097,0.007281553398058253,25.23411832638763,75.33287411898547,0.1869004723546424,0.1774850577726632,0,1.0957324010733929,0.0,1.0957324010733929,0.010957324010733929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_heuristic,default,,,,0.0,-0.44516369272885065,
peak_warehouse_load,Warehouse-M,4,90,904.7527883438979,348,399,0.8721804511278195,0.11528822055137844,0.012531328320802004,22.400322837092695,68.93789223615948,0.1580917405867665,0.17186439926166183,0,1.0797977204977844,0.0,1.0797977204977844,0.010797977204977846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_heuristic,default,,,,0.0,-0.6274448540729215,
peak_warehouse_load,Warehouse-M,0,90,1959.4649850672424,234,388,0.6030927835051546,0.39690721649484534,0.0,23.141975966367262,79.44243442019416,0.11249873951710712,0.12662391744097234,0,1.5885375006797,0.0,1.5885375006797,0.015885375006797,1.8918200339612667e-13,1.8918200339612667e-13,1.8918200339612667e-13,285.0334743623805,8.084700999834473e-16,8.084700999834473e-16,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,0.0,0.0,fixed_auction,default,-0.046832684464400205,-0.022660871284877697,,2.192776125079852,0.0,
peak_warehouse_load,Warehouse-M,1,90,2363.414999659374,255,394,0.6472081218274112,0.35279187817258884,0.0,23.11606897663102,78.49667207460188,0.1187521638702935,0.126375151721099,0,1.517882379832574,0.0,1.517882379832574,0.01517882379832574,1.6908696665041134e-13,1.6908696665041134e-13,1.6908696665041134e-13,339.01525460005735,6.630861437271033e-16,6.630861437271033e-16,7.105427357601002e-15,1.4210854715202004e-14,0.0,0.0,0.0,0.0,fixed_auction,default,0.0553791461783649,0.028809831774468653,0.08938548496751074,1.3776625308464054,0.0,
peak_warehouse_load,Warehouse-M,2,90,2175.4195613226775,257,384,0.6692708333333334,0.3307291666666667,0.0,20.77863031944411,71.57551920295226,0.12109612910181482,0.1224667744703578,0,1.8025601654598076,0.0,1.8025601654598076,0.018025601654598076,2.9596919114880658,2.9596919114880658,2.9596919114880658,404.19732630571326,0.011516310939642279,0.011516310939642279,7.105427357601002e-15,0.9243794238448828,0.0,0.0,0.0,0.0,fixed_auction,default,-0.012449926496769423,0.0029780134378566215,,1.7032615459463873,0.0,
peak_warehouse_load,Warehouse-M,3,90,2652.5878947435485,285,412,0.691747572815534,0.3058252427184466,0.0024271844660194173,27.701617456942603,89.78408694245218,0.1637976438326374,0.15586001458906845,0,1.7752106424369332,0.0,1.7752106424369332,0.01775210642436933,4.116445986423353,4.116445986423353,4.116445986423353,636.7221622813199,0.01439316778469704,0.01439316778469704,7.105427357601002e-15,1.7202394170815651,0.0,0.0,0.0,0.0,fixed_auction,default,-0.006368161236872036,0.1843748125454587,-0.00636816123687203,0.802333385351616,0.0,
peak_warehouse_load,Warehouse-M,4,90,2428.5070230139518,273,399,0.6842105263157895,0.3157894736842105,0.0,23.072353250140978,79.64028652009726,0.13536309242380098,0.1461621302575973,0,1.8584277788047783,0.0,1.8584277788047783,0.018584277788047783,0.5228191344066984,0.5228191344066984,0.5228191344066984,427.6093159111387,0.0019150884044201405,0.0019150884044201405,7.105427357601002e-15,0.2614095672032519,0.0,0.0,0.0,0.0,fixed_auction,default,-0.005208898565670123,0.08063224666805209,,1.6841663869963919,0.0,
peak_warehouse_load,Warehouse-M,0,90,679.8091924689797,314,388,0.8092783505154639,0.19072164948453607,0.0,20.75673570911642,68.87643087316252,0.12520349412674356,0.14195421717241197,0,1.0992629430903536,0.07411570048942748,1.173378643579781,0.01173378643579781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmix_heuristic,default,,,,0.10768938249248122,-0.6530638732257567,
peak_warehouse_load,Warehouse-M,1,90,1129.4794948289436,331,394,0.8401015228426396,0.1598984771573604,0.0,20.464581180505885,64.60984725722801,0.13652710554319197,0.1401876145844597,0,1.0843458339675434,0.05976763398696979,1.144113467954513,0.01144113467954513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmix_heuristic,default,,,,0.13628841088050767,-0.5220985332699805,
