scenario,scenario_size,method,mode_profile,task_class,assigned_task_count,total_task_payment,mean_task_payment,total_task_externality,mean_task_externality
heterogeneous_edge_nodes,Warehouse-M+,fixed_vcg,default,inventory_recognition,72,2.042810365310288e-14,2.837236618486511e-16,2.042810365310288e-14,2.837236618486511e-16
heterogeneous_edge_nodes,Warehouse-M+,fixed_vcg,default,localization_slam,138,5.861977570020827e-14,4.247809833348425e-16,5.861977570020827e-14,4.247809833348425e-16
heterogeneous_edge_nodes,Warehouse-M+,fixed_vcg,default,obstacle_detection,101,5.639932965095795e-14,5.584092044649302e-16,5.639932965095795e-14,5.584092044649302e-16
heterogeneous_edge_nodes,Warehouse-M+,fixed_vcg,default,path_replanning,104,8.08242361927114e-14,7.771561172376096e-16,8.08242361927114e-14,7.771561172376096e-16
heterogeneous_edge_nodes,Warehouse-M+,fixed_vcg,default,perception,64,1.3322676295501878e-14,2.0816681711721685e-16,1.3322676295501878e-14,2.0816681711721685e-16
heterogeneous_edge_nodes,Warehouse-M+,fixed_vcg,default,telemetry_diagnostics,98,2.1316282072803006e-14,2.1751308237554087e-16,2.1316282072803006e-14,2.1751308237554087e-16
heterogeneous_edge_nodes,Warehouse-M+,qmix_heuristic,default,inventory_recognition,74,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,qmix_heuristic,default,localization_slam,138,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,qmix_heuristic,default,obstacle_detection,109,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,qmix_heuristic,default,path_replanning,104,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,qmix_heuristic,default,perception,83,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,qmix_heuristic,default,telemetry_diagnostics,98,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,ample_amr,default,inventory_recognition,74,3.730349362740526e-14,5.041012652352062e-16,3.730349362740526e-14,5.041012652352062e-16
heterogeneous_edge_nodes,Warehouse-M+,ample_amr,default,localization_slam,138,9.50350909079134e-14,6.886600790428507e-16,9.50350909079134e-14,6.886600790428507e-16
heterogeneous_edge_nodes,Warehouse-M+,ample_amr,default,obstacle_detection,109,4.884981308350689e-14,4.481634227844668e-16,4.884981308350689e-14,4.481634227844668e-16
heterogeneous_edge_nodes,Warehouse-M+,ample_amr,default,path_replanning,104,6.294964549624638e-14,6.052850528485228e-16,6.294964549624638e-14,6.052850528485228e-16
heterogeneous_edge_nodes,Warehouse-M+,ample_amr,default,perception,83,2.398081733190338e-14,2.889255100229323e-16,2.398081733190338e-14,2.889255100229323e-16
heterogeneous_edge_nodes,Warehouse-M+,ample_amr,default,telemetry_diagnostics,98,5.306866057708248e-14,5.41516944664107e-16,5.306866057708248e-14,5.41516944664107e-16
heterogeneous_edge_nodes,Warehouse-M+,c_ample_amr,default,inventory_recognition,70,1.5987211554602254e-14,2.283887364943179e-16,1.5987211554602254e-14,2.283887364943179e-16
heterogeneous_edge_nodes,Warehouse-M+,c_ample_amr,default,localization_slam,138,9.992007221626409e-14,7.240584943207542e-16,9.992007221626409e-14,7.240584943207542e-16
heterogeneous_edge_nodes,Warehouse-M+,c_ample_amr,default,obstacle_detection,108,3.108624468950438e-14,2.8783559897689243e-16,3.108624468950438e-14,2.8783559897689243e-16
