scenario,scenario_size,method,mode_profile,social_welfare,completed_tasks,generated_tasks,completion_rate,drop_rate,deadline_violation_rate,avg_latency_ms,p95_latency_ms,avg_node_utilization,load_imbalance,overload_count,allocation_overhead_ms,policy_inference_time_ms,total_decision_overhead_ms,slot_share,payments_sum,node_compensation_sum,average_externality,cluster_count,avg_cluster_size,graph_cut,welfare_loss_vs_global
scalability_sweep,Warehouse-M+,ample_amr,default,727.2118475520209,66.4,91.2,0.7359406289865416,0.26405937101345833,0.0,23.38819081765117,79.23837446738594,0.01928230435325585,0.05384748659784727,0.0,0.9226773547319075,0.11103484081104398,1.0337121955429514,0.010337121955429514,2.97761815204467e-14,191.26992799237146,1.8013985365112396e-16,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-M+,c_ample_amr,default,740.5860176061302,65.6,91.2,0.7259934205398931,0.27400657946010687,0.0,23.193600476944628,72.38184849076076,0.01926707505097123,0.054714161706027754,0.0,2.3046314824993415,0.12094775990893443,2.4255792424082756,0.024255792424082757,2.5668356329333618e-14,197.9247730304123,1.5779969923338892e-16,0.7966666666666666,1.5133333333333332,0.014730858339986946,0.0
scalability_sweep,Warehouse-M+,fixed_heuristic,default,706.6941823059133,67.8,91.2,0.7494968599895812,0.25050314001041885,0.0,23.91402263806378,87.72318014200614,0.019827791680017328,0.054944479212070116,0.0,0.9640675340779126,0.0,0.9640675340779126,0.009640675340779125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-M+,fixed_vcg,default,706.6941823059133,67.8,91.2,0.7494968599895812,0.25050314001041885,0.0,23.91402263806378,87.72318014200614,0.019827791680017328,0.054944479212070116,0.0,1.1735915299504995,0.0,1.1735915299504995,0.011735915299504995,2.8199664825478976e-14,177.29028374745462,1.7516852166308025e-16,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-M+,qmix_heuristic,default,727.2118475520209,66.4,91.2,0.7359406289865416,0.26405937101345833,0.0,23.38819081765117,79.23837446738594,0.01928230435325585,0.05384748659784727,0.0,0.8498998172581196,0.1144387914488713,0.9643386087069908,0.009643386087069909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-S,ample_amr,default,461.80311911765847,41.2,54.6,0.7580429905856441,0.23867832088976568,0.003278688524590164,24.964908683929394,76.81730342719779,0.03837453476373281,0.057279996571421396,0.0,0.12036653934046626,0.05691749742254615,0.1772840367630124,0.0017728403676301242,9.237055564881303e-15,167.62001241369927,6.315935428978667e-17,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-S,c_ample_amr,default,462.87289475032156,40.8,54.6,0.7509099080114138,0.24581140346399608,0.003278688524590164,26.108286942409382,83.40096993975544,0.03817498651866423,0.05757272474922476,0.0,0.2039155837458869,0.056890977236131825,0.2608065609820187,0.002608065609820187,1.127986593019159e-14,173.83020245527308,8.561053100998429e-17,0.6333333333333333,0.9099999999999999,0.0,0.0
scalability_sweep,Warehouse-S,fixed_heuristic,default,424.0265418789851,39.8,54.6,0.7298459723207141,0.27015402767928587,0.0,29.73495948326903,91.82377992074072,0.0467032622217111,0.06941968803932085,0.0,0.10160997044295073,0.0,0.10160997044295073,0.0010160997044295073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-S,fixed_vcg,default,424.0265418789851,39.8,54.6,0.7298459723207141,0.27015402767928587,0.0,29.73495948326903,91.82377992074072,0.0467032622217111,0.06941968803932085,0.0,0.12369415955618024,0.0,0.12369415955618024,0.0012369415955618024,1.3855583347321953e-14,143.80862757146593,9.769962616701376e-17,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-S,qmix_heuristic,default,461.80311911765847,41.2,54.6,0.7580429905856441,0.23867832088976568,0.003278688524590164,24.964908683929394,76.81730342719779,0.03837453476373281,0.057279996571421396,0.0,0.10432762869944175,0.06476986221969128,0.169097490919133,0.0016909749091913301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-XL,ample_amr,default,2980.2384286788533,291.8,375.6,0.7770722882047091,0.22292771179529097,0.0,19.28618161935405,59.61525527434462,0.046827757788892525,0.10178528696368982,0.0,77.9606928746216,0.18132220798482498,78.14201508260643,0.7814201508260642,4.5430326167661406e-13,498.67408826191223,1.29663005787931e-15,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-XL,c_ample_amr,default,2933.5266988015574,288.4,375.6,0.7679540312423546,0.23153576467601272,0.000510204081632653,20.480836499707074,65.64027018037568,0.04776112360432904,0.10589026931887971,0.4,43.137184296889856,0.18442025485758978,43.32160455174744,0.4332160455174744,0.4913921515199947,532.2765069685984,0.0015416678210416056,1.53,4.2283333333333335,5.727792334548769,0.0
scalability_sweep,Warehouse-XL,fixed_heuristic,default,2811.3840202239167,293.8,375.6,0.7826495255845516,0.2173504744154484,0.0,22.02086070371678,72.97148712337818,0.05203777151661323,0.11259291647636813,0.0,11.66215235289807,0.0,11.66215235289807,0.11662152352898073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-XL,fixed_vcg,default,2811.5407644970182,293.8,375.6,0.7826495255845516,0.2173504744154484,0.0,22.02337439111205,72.97148712337818,0.052037045634092574,0.11259307477854089,0.0,16.305612199939787,0.0,16.305612199939787,0.16305612199939787,0.03642912010868482,622.8124087064368,6.746133353496589e-05,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-XL,qmix_heuristic,default,2980.2384286788533,291.8,375.6,0.7770722882047091,0.22292771179529097,0.0,19.28618161935405,59.61525527434462,0.046827757788892525,0.10178528696368982,0.0,10.876019303686917,0.1929827492373685,11.069002052924285,0.11069002052924286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
